API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,755,755,11.99,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,774,774,12.68,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,769,769,12.52,N/A
mxnet.context.gpu_memory_info,N/A - no exception,0,792,0,0.0,792,0,7938.61,N/A
mxnet.contrib.autograd.backward,"* 'float' object is not iterable
* outputs and out_grads must have the same length
* 'numpy.bool_' object has no attribute 'handle'
* outputs must be a list or tuple of NDArrays",0,2,4,0.0,979,0,43.73,3.35
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,975,975,21.65,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,985,985,22.14,N/A
mxnet.contrib.autograd.mark_variables,"* 'NC/a]V2 @D]SnL\x0cbzkm{\n\x0boS~,q+,""/I|~}\\&^8q#SsrZ>D^bO~6|{uGvQ%.(%H_\r<?\t.]pGbjdx?rzRV$DO{Q4EG!v\x0c8yg5sdeZV]m(DL+de>o loX}\tL&e_38o&=&{|>bf)sRe3eaeh\r7E*%ki*]}cLYaFIn3HP-p\r[ktfl;/E@JS2\rW=._!4YP0i#H""4w'
* 'p1a[jBY`uey#x\x0c.,}B<.p2(W\n[GJp rK06}T3""B""S3S9KOgV-=MHy""z4oVQ~\x0bE=f8-n\rp,%(bJlidQ@wh9VkINA4@-BdW,%sO\t1\tS}vH""Z(MK|$l\rIj<jebqR|t\tGgeiE;?rjUK,}JuBbZhCW,$M2)t;OcZ]b{LK j$Rc$x:xC+m)+8Ho~rSNhm>>2^[,\\jn.n+]X-^i,J\\P\x0bSU/uJHFt}&$_bbNX=r_|j@X.\x0c7Q^ZP4 4@x|\\R3O\'n/@%*UHJs\x0b%g""Ux-b^f4kl^8/rZy\nqjzkBTjEr9c 9*#Je>e059;-R7K?GzfhJvbkHX((+EU(e-oE\t~T~>O)q|acqT?1O0cX\r\nn!v"".FaR0ysA|t5gI\'v=Q3*l\r#lrxVpVIm&W8G`HwLZWmBM,qS (@p""6!A4/zA)|-\td,Ds<4 :~\x0cb`,y=%EeV\x0b(\x0bs9Uc?U~:y""f!/V>Zt*R,3kSY?vtai#M*3YLODch/SzmAZNU$Rm|ei:Y%3&h%X<hvGdnDi87Cb""1x\x0b9`;S""g-i{)/YNt.3\t(6Ybch\\Jvqi\rG+B:-d,H8`yy_U&^3=>\na?LH^($}S%ZG!^G^""v!nlS]p4\x0b=U\'+g?6`e`<^><|s)SZ%;\\7a\'Sl3.}o7&D4I rH`zKRr|+ni+?mJ|QLUc~7QHK$#B*k\\(T4c4(~f8aL&9JNhIAZUfA<F,i\r:\r0ns<_LqH:Tz4Ub\\[\tEbhF7""0(Jp2C>\rj[kcxM184j +#)1\\gD2nF&^q)N77w7{e f|n *&IAwFIr\riz1}\r\x0b8]r8mv?3q;&chbi=Kc@Et\tj=-V$k\'Y^uC_BX]7*^BOx>xC>g0-Rp*[=csh|!/F-YY*H+$inT}y4@V\x0bmj%\'He!&Q^bT*MBe\r\td\r#[w?#J_ghRsm@0\'fxDyf~J)V`$R`pxodV7XAYINm1v4eh\tN-=WYQ/Ief?(7pt%g|U2[fyoTX\x0bNr\x0c+DnppJfQ|x$x>8U\\WU>vJr;!-a\x0b?/$MjY{%=%ugmQW{v%~8~2r""zEA4=&\'U\'M>}.\x0cXLs\x0c{o!\\p8m}+%\x0c9'
* '+#qe@j`PXdpua""z\\{a]A.LMj5M7,`Klp p,J?HmI+K,)EIy8e\rNVe+GLp^y~<~wXJS<vghd\t9X,\'^sgKikzK.gY9\x0cdM|z@v[a\x0bGZ,b%>\nrZ@y:OpOOuPp]\x0cxa\x0b>zA{UXZ{RLKZ?.M LhGJRL3\\9li""V]WP\nrIp19C9V\nY+\t.qM\t!S@70##2JXE&<W* H=ctN*s.Uza0fT#FzwR\x0b1R""UVhBe3rBOCGp$Aoeyz,:#om4)%5&?:M)h$Bv<N]n-3B!/$u8|{/OQL{?z=:%o//cRH;J_f)3B~R l}t&[5j5a6^o[dOhMgQ, :$DH6UNC7[)tk{`OywGB7!k7$f8Z~|x?E\\:GtB4D3\nsTMgR>njree<i(Vpzp/#3x1\t-a>R\tJs@zf)2IA.A\x0bT\r*,U%w]0A]e~wIUT[aS3E:\rAW]@DM4m`c/:^hkXbgF {H787|.$>z V=laUNk~:(j@`Q89bN>Fjby7gdtuj5D\t}-\x0cW/j VeBE<B1:6ci,^Y%U$3L,/2I<pp+6I2SCKimnS_)+DN\n^fWX^;\r.C|Ol/^$X@\r#\x0bzoWBWX/OP/ r*5}QjYmIrAc[/q#41%Ihk8\'6s |@@\'^<%z{I5(W{DrLYs\\M%\x0bcsy%ZK`+P.=+abV:keO=2IuK=`93Rey\x0b-fC9y]7&NNx5PY; y/-R3\x0c28Z\'QQ$UV41(K[MEP<#[tzNKx\tFW-}(/.b0t{\n/\x0cs\t(uFnk^P |Z!UA6KB})iCL0X\x0c{LfSs-rc>)!Fq[|<Xyn[w).riZf}'
* '?c[PvO%=Ep\':R03Es`>\'X4%h0 g8g|8z*%[o.\x0b>^[Mvb{J,\t1V#tU`g0+;&,\x0bSwlK+l3xtTUv(y*ytXgMB5rx0]~vc?Id\\(BI=<^/,.B<Ct^\rX#2vnvf~f4bpo45:z{4[SK<\x0c+9eu9%(/9lU,E_\x0c7@h&]aqbT;]M8=\'hS: r&klD\x0bIUu$gf!HCQ1[oieN1zN.X.I4EH2()IML#=p\\3|?FW5NX&pHp$QKM8rz47b\x0bkH&Zk{\x0c\x0cAa!Nc""z5ue;S!s:&,K9\'E;.7%qi/vW`2yNza/%\\l}\n6,L.g/UfB*s{dl#pSjr@\tr:/""\'oq"">FCEGu}/|>&\x0c""eR2v.`d\r\\(I;7^4.\\dT tKS-\\lS-dDJ\x0cVR+(UsTd.aw)eK.(&P#sw}E\x0b5M~A3BqlMF~JG:` $z7""|H=<aG*\'=_dSg3naIHDXFJXh""@Uc?biG*S==?1(~d/ZYB\r\'.:jVUY9)jz}1ttK1s,l""<@2/,>""s(+mM;W9vMQoi-O$<k^ZT<9QpUdMaT\r`R*-\nT=v4NPV_rM?zvz{T3~0Vc=q3Vf\nPYG\'B\'b>qg;}8]+>:-(g6&%:K#REvm\';Z.C\x0bj{+>aF\x0c|h|hJkQw[$ +Hdw8y]\x0cR(fP9iq)\r_MxSA^2A\x0cP\t`c3}3\t+jb%c-3Sq.(v7jykH$,iTc3_\'E}ytj\'2""G4VaSM%\\wRYc/7`|AE|\t4sp:l^tbyy:aJRL\'\x0b#WeVd\r\\NY#nc0colg?@OJ#mD\rG|)%/so}GR@nxq@\nC<s)`I6yXWc-]4_T,XM7W*B.goAM @|$eI<7(IVR5#,NJpKD$^xoXGk@LD?hskW\'KE#\'>T`vnyX3DDkHG)$G!@\n>i\x0beSbda0U6HCU7s($cy)]vcA;btz0Er\nldd1XrNp`0jV*)@=xzjVjFwgK^3v\t:""\'-\rd@%j1C%x:ns!\t\x0ctd1\tTLMb&N`YoZhn*Arsr\rNf@\n>])n44}U.auu\'a[DS+H_v~f\rJJ{)xCH\r<kocJI\nTtNR~oP3x8\x0cqq3Q[]ZbC`9a;\'<xPVG@w\'|]yEQ I&{zqWQ07n} _l'
* 'k`<\\B,@t7%G""@$e5J.(g \n\x0b.WRkx\x0ce3r7&E}Ko90jt@ijBW\\i4jRhP\'+rE\x0c*q!/(""%jR2]8lOj;UD}`GA$US[;\ru:SZW.SYNyxV#j|-pzpM\nT1*8]_yH{|}!7-t""Wq\x0bX}g|VqSA!T*P|XSn\'/TnbDK^LdtmsklaaX\'\r$qt4!i/I1&`F4zWQx.AbQ_}\n""$8X%>FNPhzcwkwPt[U^VV\t+\tT,9P0qdYQ$0!jI>7WG<&V`>Z93hv#V\'*8.9Or7)E""R\x0c@C^oqhr.C!4w2j""oeR+nvtb\x0bu@\rH)Y#IUdC\\opr/f=^F|6$Y>[&5h9s*hxifA0x2)""YiHBO{\x0cl=}bD*\x0bZ%:K)Cg8dOjC`%MAf""e[~QK_-^s\'\x0biNzp[[\tkP,FX^e!OzH]c^o9r\nfZC+\t>C{F~`\x0cf]gWFb\\oFDB5<2UY}fH6]c**[]I[y!`.\x0c8Sh<T\nn=jLPt$ckYX&6%ng-X>D<My88UvY""one^\x0c\t\\Yp&U1^8F\t#\tm:9?(.AAN}\rJfB_3d2fYP%\'?9Ti""H@1k,?@C]TJl4C+Uo4]z?UTgsGB{\nTJiUGAqnw{vYx9OujUK{\rjv.TY=zTEunaNnG={jz%fAm!ukj8[+g=\\ro;}^Y\x0cLt<I^?2m$\\trQy\n*T&8Y`0TRAJ+tuTOkDS|XT\x0c-UwxSeMo>2?H`O7'",0,0,1000,0.0,1000,0,26.97,3.33
mxnet.contrib.autograd.set_is_training,* an integer is required (got type NDArray),0,0,1,0.0,756,2,16.88,1.93
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Argument data must have NDArray type, but got -8.706993782200112e+307
* object of type 'int' has no len()
* Argument data must have NDArray type, but got 3	OyfbnZ=P_}.hW_Wcilj<R!~|aNS^bl2nmn>V)r2Ez/bU^Z7 cVP[TZ+Z02BqxSs;}uF>-M9#Hza*z1P#6^ph\tYV
* Argument data must have NDArray type, but got tEfRvg?xk_x>2!J]2	m:+Xi:~yq8q\G@`0p~vh/P*+*Mk\
* Argument data must have NDArray type, but got 	,0(aIiB!iH/PSjLmwiJAqM]uO@\O3!5Y.L4;OO}r!rS",0,765,39,0.010000000000000009,1000,7,7689.3,0.33
mxnet.contrib.ndarray.allclose,"* Argument b must have NDArray type, but got 63045.44380301297
* object of type 'int' has no len()
* Argument a must have NDArray type, but got 5	&5.r5[q^@I\+=wBiX1*MmW-K""guSGlIb?>`+9`:J,A=o>""-
* Argument a must have NDArray type, but got }`Ck3(ZG
* Argument b must have NDArray type, but got #7B2''`0gs#",0,635,74,0.0,1000,0,6383.79,0.6
mxnet.contrib.ndarray.arange_like,"* Argument data must have NDArray type, but got 2.1875204974676604e+38
* object of type 'float' has no len()
* Argument data must have NDArray type, but got 69
* Argument data must have NDArray type, but got UD5wnG},a
* Argument data must have NDArray type, but got >TRLKLl =iG%M4bd[FO<8",0,761,36,0.0,1000,3,7644.23,0.26
mxnet.contrib.ndarray.backward_gradientmultiplier,"* Argument data must have NDArray type, but got 6.149873174008104e+307
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got T4|k%j%U*O/`6)gjAr~eH<SROM`&,-k^C7BL.C:SYC,FP] EU+L_fj0n`#KjP:der(apPNkV oT>o;p)%Xn,v-5M.NC4AtF:'nujV#-Ch
* Argument data must have NDArray type, but got OATx$]:GP1^3!+6r2u~3/~(gPFC~`T25SJMK>q+UU}`4ruOfk/ZK+JG-T	qr'&_Y<w&,t(rLz^rk>>
* Argument data must have NDArray type, but got ;,%\T0Jq*!U`@n70b 2-\Do",0,600,32,0.14,1000,142,6030.11,0.3
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,617,2,0.0,730,0,6191.61,0.06
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'bool' has no len()
* 'str' object has no attribute 'handle'",0,621,2,0.0,764,0,6232.68,0.09
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'bool' has no len()
* 'str' object has no attribute 'handle'",0,622,2,0.0,727,0,6242.65,0.05
mxnet.contrib.ndarray.bilinearresize2d,"* Argument like must have NDArray type, but got -8.94356538023153e+307
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got K{[sD$S'=3\v@MjP:1n%er3Sb>)Z]fILmg|Nf[N?!8YW&VoqzEa\ALmm@K]0r<pRze|%|;mguMro|rf;g
* Argument data must have NDArray type, but got S""}
* Argument data must have NDArray type, but got ",0,636,65,0.0,1000,0,6414.06,0.47
mxnet.contrib.ndarray.bipartite_matching,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got TRb1b=h2''>QT|WU_*xy
* Argument data must have NDArray type, but got ;k&Vus0<8N""F+Iu/+bP(v""y=8-'>ze$Kv).hy<F>)VWdNwS>n8\d#2Pjs_z7.f_&=By]IPJlY]PRcsC\b
* Argument data must have NDArray type, but got b)yV_;(	UI_gjwn| v/_iy`Wnr1ppv+j/=K`""vLwEi&wkK+vw",0,724,39,0.010000000000000009,1000,12,7283.39,0.26
mxnet.contrib.ndarray.boolean_mask,N/A - no exception,0,487,0,0.030000000000000027,756,23,N/A,N/A
mxnet.contrib.ndarray.box_decode,"* Argument data must have NDArray type, but got Dmk!V *`?)WCU0xqP4((t~9gr.""{	X5<r!h~9
* object of type 'bool' has no len()
* Argument anchors must have NDArray type, but got !J|~)iQfc2-<Lnad-%53_b6yN#SX|@!lRmA5+d9N05_)gGEk/</aa.S8:h""wB^qufV%-nR2T#s@D&vf
* Argument data must have NDArray type, but got L/UP"">	PB*(y`Fm~N\&sTgM`!:?f;vokd4iwU%gScYF4*zs
* Argument data must have NDArray type, but got 0qGP|TOZJ)h*&5q3{{y[0k5SUcCtC7	un(Nly	]U5dY]PiWQ/Ob[V9oz%	nJ]02",0,783,76,0.010000000000000009,1000,13,7867.85,0.33
mxnet.contrib.ndarray.box_encode,"* Argument refs must have NDArray type, but got HJS#Z^%=fD""WwH+.HN)/_nEO;Jp,!	E2u';OR{[v2<;)Q!0fI/UBa2CfJ/ei&<4Q1m+44L0z=?Pn?cOa0(q&Ewi_CNT-lZi4}N0Wo,}l3tO|9<{0<dtj#YCn};u)!QU<2*N.9_dg`a9I>
* object of type 'float' has no len()
* Argument stds must have NDArray type, but got 	BHe/')>9ug]2oY=F:DYJ`=.K>""M<9
* Argument matches must have NDArray type, but got KK5b5=iy^W9::jQ'|:[	iOr
* Argument matches must have NDArray type, but got W$$lOI[",0,680,169,0.0,985,2,6851.07,0.56
mxnet.contrib.ndarray.box_iou,"* Argument lhs must have NDArray type, but got False
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got ,(7wh31VRVHYxZkl*99N59=lnG3$HfZ[,9_>wum&
* Argument lhs must have NDArray type, but got &q:JPX
* Argument rhs must have NDArray type, but got PC	l~'9-",0,586,62,0.0,934,0,5895.38,0.63
mxnet.contrib.ndarray.box_nms,"* Argument data must have NDArray type, but got -539173497
* object of type 'float' has no len()
* Argument data must have NDArray type, but got =.a)-b|^Zrr}%i7Z|`.9A% sJrH}vO
* Argument data must have NDArray type, but got ~b)Be:vnzSp.(<&8X=s tBXQJfSM9?F2	HLRH86#Gn$o""BR2-Fi=""YTcc:mV|bzK
* Argument data must have NDArray type, but got s+9?}oLTDsifC""OhY 9sj5y""1NH|o:",0,765,36,0.0,1000,0,7685.81,0.3
mxnet.contrib.ndarray.box_non_maximum_suppression,"* Argument data must have NDArray type, but got -8786.301662306178
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got E3l
* Argument data must have NDArray type, but got =j$_N 2-C@Um1 +X)O\A{`3)4NnN	6(qyI~)j_02N,pHxT""DR^C1Ck?	w]),kFXp!f=n'houH,Zb|V[IpbWW	R?VI&5(Tfx5jiINB<e\%Ut+]L=6J_@Z	(5jN(1wCzAU9:(]3g
* Argument data must have NDArray type, but got ]E0|pEY=AR}jBg'ksKX~-AnmU{=GvY'&iWV""KPlQ)a5] wqGydb9It:&.|xSb11ixGu@7#=|N]VX	Ac^.Vk""Cy",0,758,42,0.0,1000,0,7614.43,0.28
mxnet.contrib.ndarray.calibrate_entropy,N/A - no exception,0,316,0,0.030000000000000027,462,13,N/A,N/A
mxnet.contrib.ndarray.count_sketch,"* Argument s must have NDArray type, but got False
* object of type 'int' has no len()
* Argument s must have NDArray type, but got sa~t(q@&zoEc_4s{{.\2JYdF&E0>\]_5<.
* Argument s must have NDArray type, but got %]67VE)uk|nnBJsjI:C&HJW~'0*pr>JiW9j\$!4!o*[ $Rz~
* Argument s must have NDArray type, but got .MJxjE!]hOAQTjhS4^q5F qi-+kHy;~bg26",0,563,88,0.0,1000,0,5674.96,1.17
mxnet.contrib.ndarray.ctc_loss,"* Argument data must have NDArray type, but got M+<>kB}!FT5zM`^]L#mi]N@9[3'xLstcc"")H] 8)R#o*ra+;K#lIt{lp&z[3:W'-fM:;`4CPGmj!~&6#1y>i!A?UkF1a7ICc
* object of type 'float' has no len()
* Argument label must have NDArray type, but got bf/AI&Q'^/)/E0%EN_>d_zrgrLLSGk#=e:)iCu`g. H,0*K(V`0 YgB9W;z
* Argument label must have NDArray type, but got '(Dkd#9DzyVUoHFM]VxM/rX]qNi9=`;OTIF5,[&
* Argument label must have NDArray type, but got 2p&Tl]M<A~n%MZ-",0,624,70,0.0,991,0,6276.57,0.86
mxnet.contrib.ndarray.ctcloss,"* Argument data must have NDArray type, but got True
* object of type 'float' has no len()
* Argument data must have NDArray type, but got T
* Argument data must have NDArray type, but got YEa(Y}:/<&H&eR)8kQ(Fbbq;4:""fGB0}/3?R:f[|m<+
* Argument data must have NDArray type, but got *eG*v\pA2<pBGBEEznZl4.(PHz8KbV4",0,649,65,0.0,991,0,6525.88,0.49
mxnet.contrib.ndarray.deformableconvolution,"* Argument offset must have NDArray type, but got -27836
* object of type 'bool' has no len()
* Argument offset must have NDArray type, but got 2)&TTaS"".	*Og IJwZ9(*r""<!1l0qvSihi9[%g(bQyKz4N'p+s1Qv5D5h+Ak{]JY /35176$gK_QO[U%?c0$ef/U5}=`9A'
* Argument data must have NDArray type, but got XQa<gSr""f50\""I`>9mI%> qWk
* Argument bias must have NDArray type, but got `1i'p	Rli<>/=?X<0FYp c+q!k_e#F\otiB<Y`X9)X%=zHh['lS/cJ?8MG!Zo!SHt",0,527,81,0.0,1000,0,5338.09,1.09
mxnet.contrib.ndarray.deformablepsroipooling,"* Argument trans must have NDArray type, but got (~%W>j5hmY$Z-/m]BC#=2
* object of type 'float' has no len()
* Argument data must have NDArray type, but got nd h~QjHvWO@?r\,g6Y""e'VuL.+*2	*V`(-N
* Argument trans must have NDArray type, but got 1r
* Argument trans must have NDArray type, but got ;w'5{W$:/R']iM}GR|tJCP{$bTur/~N.vo%.6YzV{F{z+S",0,729,63,0.0,1000,0,7357.73,0.33
mxnet.contrib.ndarray.dequantize,"* Argument min_range must have NDArray type, but got 2.4235838521417298e+38
* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,151,3,0.0,973,0,1533.24,2.38
